Xaxis,HL10_AM,HL15_AM,HL16_AM,HL18_AM,HL19_AM,HL20_AM,HL21_AM,HL23_AM,HL24_AM,HL26_AM,HL27_AM,HL28_AM,HL29_AM,HL30_AM,HL31_AM,HL32_AM,HL33_AM,HL34_AM,HL35A_AM,HL35B_AM,HL36_AM,HL37_AM,HL38_AM,HL39_AM,HL40_AM,HL41_AM,HL42_AM,HL43_AM,HL44_AM,HL45_AM,HL46_AM,HL47_AM,HL48_AM,HL49_AM,HL51_AM,HL53_AM,HL54_AM
23,0.729935188,0.773577296,0.750925716,0.815895937,0.781097526,0.764559528,0.728830481,0.728392794,0.785765229,0.785623891,0.72168056,0.798162152,0.749591462,0.749591462,0.763900417,0.610349421,0.65526015,0.739748789,0.774793801,0.772024064,0.800704069,0.78216286,0.758789745,0.788801274,0.731163609,0.712811674,0.806284015,0.175716206,0.700491594,0.769001742,0.733110851,0.745088164,0.658062345,0.76195397,0.803310997,0.783470253,0.680978074
24,0.735201188,0.791807319,0.776959117,0.819031765,0.808197643,0.796604313,0.754019435,0.758353415,0.799368569,0.790151799,0.737848221,0.826889338,0.753360229,0.753360229,0.747311048,0.646121529,0.682815949,0.723191151,0.775598619,0.77550474,0.801348799,0.791221153,0.784880547,0.79203965,0.75047636,0.749669437,0.822359028,0.181533768,0.733857788,0.784480069,0.752137853,0.771097625,0.690548623,0.785806267,0.807428519,0.793308073,0.688366433
25,0.723764515,0.775489171,0.772437593,0.809198428,0.802650549,0.785899681,0.740441361,0.750139591,0.792897354,0.776256463,0.71535599,0.805515579,0.724527627,0.724527627,0.728005154,0.65310995,0.676752725,0.696164438,0.757036445,0.757975853,0.782035409,0.766627592,0.766564029,0.780672424,0.74023059,0.740697015,0.798893266,0.173621884,0.715689323,0.76559534,0.739063768,0.746764755,0.670904101,0.772420152,0.778678633,0.760438879,0.670898864
26,0.741547394,0.807154593,0.806833925,0.85263545,0.839085422,0.822536552,0.781449215,0.791311567,0.847848,0.813204703,0.758668881,0.863478486,0.77205597,0.77205597,0.772311193,0.668695563,0.721929275,0.736222302,0.796306972,0.788607478,0.822824605,0.812315726,0.803164308,0.822080196,0.773470805,0.78463827,0.852651975,0.182800703,0.762301427,0.81406506,0.790105959,0.787015669,0.714633389,0.811852488,0.818950305,0.804267303,0.716340259
27,0.758709155,0.831232263,0.829277816,0.869195331,0.859905349,0.849367244,0.804456507,0.812433878,0.865221857,0.840009666,0.769273771,0.89095976,0.811602492,0.811602492,0.806708885,0.677487447,0.742652753,0.766020241,0.827523617,0.819239104,0.845470054,0.851615692,0.821742881,0.849606393,0.793106511,0.806780081,0.879085844,0.194590961,0.775924468,0.852569103,0.804477144,0.812687262,0.739585491,0.82533929,0.852011764,0.830182909,0.749392722
28,0.769227653,0.819402539,0.825789063,0.866175645,0.857551296,0.850749478,0.810017897,0.802993123,0.849787938,0.831456244,0.759995177,0.869174087,0.807603922,0.807603922,0.814643688,0.709447689,0.735820432,0.760936756,0.819406947,0.827765088,0.845920795,0.843149444,0.817391684,0.846453583,0.789053417,0.797300009,0.863134279,0.196297445,0.76936106,0.849221208,0.799928702,0.809748448,0.742582332,0.81366486,0.857208696,0.805240041,0.738762484
29,0.782608696,0.840612397,0.848169979,0.87964809,0.869582217,0.865493304,0.82755994,0.814873046,0.863448335,0.855189606,0.770912459,0.893354963,0.812031457,0.812031457,0.828870611,0.733159135,0.763313017,0.772887303,0.840303662,0.844055657,0.84955525,0.845292648,0.821666448,0.865100574,0.801002777,0.817564696,0.871367691,0.19236736,0.772159771,0.853375198,0.797927216,0.82216669,0.751482239,0.816229737,0.86104727,0.826028596,0.752414189
30,0.784229004,0.83914115,0.852515177,0.899595439,0.877572963,0.887286522,0.859574909,0.824490126,0.883156774,0.866452142,0.792851153,0.900972829,0.827126953,0.827126953,0.841628986,0.749779691,0.780059315,0.792268455,0.862085105,0.86075621,0.866489413,0.875007401,0.847522493,0.885537886,0.81519668,0.83053929,0.883411875,0.200434378,0.78058237,0.866558754,0.825166325,0.848915635,0.775961837,0.834178577,0.881089112,0.829711407,0.793300425
31,0.784120983,0.842905153,0.848812313,0.898753412,0.891037494,0.892807777,0.85593634,0.836046785,0.889708819,0.866757394,0.812356478,0.929466088,0.834940251,0.834940251,0.847009792,0.741674352,0.782740619,0.81271859,0.871891321,0.865558874,0.87461416,0.867109517,0.852779962,0.892982202,0.826403242,0.837292218,0.905653896,0.229625608,0.783162742,0.880957953,0.846632908,0.85082172,0.775515224,0.822541242,0.879536703,0.832281304,0.799136724
32,0.820969484,0.851613144,0.873712184,0.918845938,0.903768928,0.888868411,0.851920602,0.836406783,0.889632743,0.884563775,0.821794008,0.938518025,0.836262894,0.836262894,0.878963774,0.7510913,0.778020681,0.82655148,0.883723851,0.891998628,0.873838201,0.877428866,0.856525157,0.885886736,0.839717091,0.841235361,0.923215647,0.233478126,0.799048571,0.885131446,0.854595902,0.84242602,0.779405292,0.816341023,0.886437646,0.83109193,0.79430605
33,0.802565487,0.839566841,0.871331772,0.908267358,0.893098308,0.885005836,0.849731545,0.820471377,0.887726088,0.874897454,0.810147811,0.92102948,0.843856603,0.843856603,0.882690287,0.709919049,0.772805571,0.811097684,0.871954108,0.882602475,0.868925696,0.875854025,0.85495829,0.880101101,0.828607415,0.830084766,0.920140193,0.224713,0.798618509,0.874535195,0.847234213,0.847392042,0.780304992,0.812181046,0.892998999,0.833768021,0.799182643
34,0.822319741,0.846079164,0.893889015,0.931031145,0.914040418,0.896708748,0.870527592,0.822903197,0.88731718,0.891031307,0.813962283,0.941452276,0.858972526,0.858972526,0.894049768,0.724018854,0.784821396,0.842621103,0.883301464,0.89610683,0.879886117,0.87669473,0.846370545,0.896253488,0.841041209,0.844706271,0.918449499,0.270632951,0.80369324,0.889434953,0.848535608,0.864151569,0.786486382,0.817893727,0.900773172,0.856111257,0.807613362
