Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Batch,_gbc_pvals,GBC_KSstats,_hist_pvals,NumGenes
RNA_B03_02,19672073.0,99.91,9827260.0,50.000386340835185,70.46,1282310.0,1.69,0.415,1.22,0.013,batch_03,0.5241976481720823,0.11,0.3651673327821734,15055.0
RNA_B03_03,25207262.0,99.66,17276030.0,68.76974141118706,71.19,1982222.0,2.07,0.804,1.25,0.026,batch_03,0.5749037124841687,0.1,0.3656223417010332,12944.0
RNA_B03_04,19634933.0,99.93,7095005.0,36.159914487550026,76.07,486298.0,0.17,0.231,0.17,0.008,batch_03,0.5241976481720823,0.11,0.41236764163625217,14677.0
RNA_B03_05,21915426.0,99.8,16282949.0,74.44792613349448,76.44,1088651.0,0.87,0.431,0.61,0.015,batch_03,0.3256229145575784,0.15,0.34859814494590113,12804.0
RNA_B03_06,21549950.0,99.95,11882042.0,55.164796173524756,70.08,960274.0,0.86,0.244,0.58,0.008,batch_03,0.5749037124841687,0.1,0.2999225950797899,15607.0
RNA_B03_07,19335413.0,99.88,10557758.0,54.66882207810738,67.26,1146767.0,1.62,0.456,0.99,0.013,batch_03,0.7966677253410352,0.05,0.37118850381085644,15006.0
RNA_B03_08,19327127.0,99.9,8288991.0,42.93078991144564,73.62,758638.0,0.57,0.432,0.26,0.015,batch_03,0.7585346160952503,0.06,0.4908511013032358,14068.0
RNA_B03_09,19809043.0,99.92,13451218.0,67.95879836331346,60.81,1302627.0,1.6,0.292,0.96,0.011,batch_03,0.7168183469811907,0.07,0.49068365944232445,13926.0
RNA_B03_10,25694657.0,99.71,16657479.0,65.01712081986238,68.95,2585316.0,3.18,0.835,2.13,0.029,batch_03,0.20141573590856493,0.18,0.40738927826865445,13279.0
RNA_B03_11,23456152.0,99.72,15080391.0,64.47235956281196,67.48,2254550.0,3.03,0.794,2.01,0.028,batch_03,0.42243415688572034,0.13,0.3528272764640435,12839.0
RNA_B03_12,17840319.0,99.95,12337610.0,69.1903653233189,67.88,838289.0,0.73,0.207,0.48,0.008,batch_03,0.3730253578520104,0.14,0.38270246974748934,14913.0
RNA_B03_13,18651593.0,99.93,9932834.0,53.29191911006212,63.75,820537.0,0.42,0.237,0.41,0.009,batch_03,0.5749037124841687,0.1,0.4937116268474882,14046.0
RNA_B03_14,18829521.0,99.85,9929948.0,52.81528562488085,71.52,921209.0,1.25,0.495,0.75,0.015,batch_03,0.4730961202940454,0.12,0.49874582212806823,13988.0
RNA_B03_15,20965819.0,99.92,12510465.0,59.71854180897053,65.81,1161284.0,0.66,0.379,0.52,0.014,batch_03,0.6243985690243574,0.09,0.3189953715795171,15441.0
RNA_B03_16,18717094.0,99.89,9404899.0,50.30297855724556,64.59,862568.0,0.76,0.423,0.62,0.014,batch_03,0.5749037124841687,0.1,0.37205129064311654,14999.0
RNA_B03_17,20675661.0,99.99,7206898.0,34.86040306946505,64.67,483481.0,0.24,0.067,0.23,0.003,batch_03,0.6243985690243574,0.09,0.4797674188460948,13842.0
RNA_B03_18,18887761.0,99.94,4520951.0,23.950245871490388,70.61,416316.0,0.14,0.306,0.14,0.011,batch_03,0.6243985690243574,0.09,0.2341656821083456,11773.0
RNA_B03_19,19414939.0,99.37,12624882.0,65.43890256361075,71.44,1416184.0,2.18,0.815,1.24,0.038,batch_03,0.6719249106542564,0.08,0.03367718675678795,8386.0
RNA_B03_20,19980473.0,98.11,12416942.0,63.34256003187924,66.58,1203329.0,1.03,1.892,0.77,0.106,batch_03,0.6243985690243574,0.09,0.0030740786701165495,5593.0
RNA_B03_21,20371807.0,99.73,13354446.0,65.73104006767063,72.46,1829707.0,2.19,0.632,1.37,0.026,batch_03,0.3256229145575784,0.15,0.2341656821083456,11773.0
RNA_B03_22,24483036.0,99.96,3627319.0,14.821570773343964,59.32,222527.0,0.0,0.203,0.0,0.008,batch_03,0.42243415688572034,0.13,0.4440500349166572,13566.0
RNA_B03_23,19748786.0,99.95,15659702.0,79.33417156823685,54.98,554869.0,0.23,0.154,0.23,0.007,batch_03,0.2393502828005165,0.17,0.007401420781656796,21474.0
RNA_B04_01,21011016.0,99.64,13615220.0,65.03451276596049,57.25,2748175.0,1.18,0.867,0.71,0.028,batch_04,0.6719249106542564,0.08,0.4417702291402304,14447.0
RNA_B04_02,18022310.0,99.0,11024371.0,61.78857362251722,64.07,2108951.0,1.98,1.622,1.27,0.067,batch_04,0.7585346160952503,0.06,0.25326905127706356,11960.0
RNA_B04_03,18983598.0,99.16,8197928.0,43.550089614757354,63.61,1105252.0,0.43,1.455,0.28,0.042,batch_04,0.6719249106542564,0.08,0.35064998366351413,12821.0
RNA_B04_04,19683950.0,99.58,13177707.0,67.22881741001797,69.47,1380949.0,1.24,1.057,0.98,0.029,batch_04,0.5749037124841687,0.1,0.3698340044913645,15017.0
RNA_B04_05,18159785.0,99.66,11781788.0,65.09979463589734,64.38,717239.0,0.51,0.649,0.35,0.02,batch_04,0.5241976481720823,0.11,0.43133316296249996,13467.0
RNA_B04_06,20852312.0,99.78,11051009.0,53.11341411261327,65.61,1175784.0,0.61,0.874,0.54,0.022,batch_04,0.6719249106542564,0.08,0.3874377598502036,14875.0
RNA_B04_07,21213921.0,99.78,13935538.0,65.83537187829019,65.76,1297796.0,1.19,0.917,1.05,0.023,batch_04,0.4730961202940454,0.12,0.22421735839850732,16323.0
RNA_B04_08,21327605.0,99.68,13174703.0,61.97131553989907,66.06,1820346.0,1.82,1.372,0.98,0.031,batch_04,0.2808854564089527,0.16,0.12270011700406364,17561.0
RNA_B04_09,18417197.0,98.54,5528642.0,30.463680870343076,62.98,703212.0,0.11,1.828,0.11,0.083,batch_04,0.3730253578520104,0.14,0.13750406044506014,10649.0
RNA_B04_10,20423091.0,99.52,12733805.0,62.65076165951765,71.34,1493256.0,0.96,1.129,0.65,0.038,batch_04,0.5241976481720823,0.11,0.3974609153405466,14795.0
RNA_B04_11,18112380.0,96.89,2417683.0,13.776689795962605,58.29,325215.0,0.0,3.08,0.0,0.142,batch_04,0.16733351268893087,0.19,0.016205199089838324,7435.0
RNA_B04_12,19164396.0,99.07,7099429.0,37.39263936831393,57.0,562961.0,0.0,1.448,0.0,0.057,batch_04,0.4730961202940454,0.12,0.3160570526118083,12529.0
