0,1,2,3,4,5,6,7,8,Sample
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_10
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,RNA_B04_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_17
1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B04_23
0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RNA_B04_24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_02
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_04
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RNA_B05_05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_09
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RNA_B05_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B05_12
0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,RNA_B05_13
